"Amtlicher
Regional-
schlüssel (ARS)","Amtlicher
Gemeinde-schlüssel (AGS)"
10615168011,1061011
10615168013,1061013
10615168014,1061014
10615168021,1061021
10615168031,1061031
10615168033,1061033
10615168043,1061043
10615168048,1061048
10615168066,1061066
10615168076,1061076
10615168078,1061078
10615168081,1061081
10615168085,1061085
10615168087,1061087
10615168091,1061091
10615168097,1061097
10615168105,1061105
10615168106,1061106
10615168107,1061107
10615168108,1061108
10615179,
10615179002,1061002
10615179007,1061007
10615179018,1061018
10615179020,1061020
10615179023,1061023
10615179025,1061025
10615179060,1061060
10615179062,1061062
10615179063,1061063
10615179077,1061077
10615179095,1061095
10615179102,1061102
10615179110,1061110
10615179119,1061119
10615189,
10615189019,1061019
10615189028,1061028
10615189036,1061036
10615189038,1061038
10615189042,1061042
10615189049,1061049
10615189064,1061064
10615189071,1061071
10615189080,1061080
10615189086,1061086
10615189088,1061088
10615189089,1061089
10615189093,1061093
10615189096,1061096
10615189103,1061103
10615189111,1061111
10615189112,1061112
10615189116,1061116
10615189117,1061117
1062,
10620001001,1062001
10620004004,1062004
10620006006,1062006
10620009009,1062009
10620018018,1062018
10620023023,1062023
10620053053,1062053
10620060060,1062060
10620061061,1062061
10620076076,1062076
10620090090,1062090
10625207,
10625207019,1062019
10625207046,1062046
10625207050,1062050
10625207056,1062056
10625207062,1062062
10625207065,1062065
10625207089,1062089
10625207091,1062091
10625207092,1062092
10625218,
10625218005,1062005
10625218014,1062014
10625218016,1062016
10625218027,1062027
10625218036,1062036
10625218051,1062051
10625218078,1062078
10625218081,1062081
10625244,
10625244003,1062003
10625244008,1062008
10625244025,1062025
10625244031,1062031
10625244032,1062032
10625244039,1062039
10625244048,1062048
10625244059,1062059
10625244083,1062083
10625244087,1062087
10625244093,1062093
10625244094,1062094
10625262,
10625262011,1062011
10625262035,1062035
10625262069,1062069
10625262071,1062071
10625262088,1062088
10625270,
10625270020,1062020
10625270021,1062021
10625270022,1062022
10625270026,1062026
10625270033,1062033
10625270040,1062040
10625270045,1062045
10625270058,1062058
10625270082,1062082
10625270086,1062086
2,
2000,
20000000000,2000000
3,
3101,
31010000000,3101000
3102,
31020000000,3102000
3103,
31030000000,3103000
3151,
31510009009,3151009
31510025025,3151025
31510040040,3151040
31515401,
31515401002,3151002
31515401004,3151004
31515401014,3151014
31515401020,3151020
31515401030,3151030
31515401039,3151039
31515402,
31515402003,3151003
31515402005,3151005
31515402008,3151008
31515402021,3151021
31515402024,3151024
31515402031,3151031
31515402032,3151032
31515403,
31515403007,3151007
31515403011,3151011
31515403019,3151019
31515403028,3151028
31515403029,3151029
31515404,
31515404006,3151006
31515404013,3151013
31515404022,3151022
31515404037,3151037
31515405,
31515405012,3151012
31515405015,3151015
31515405017,3151017
31515405018,3151018
31515406,
31515406001,3151001
31515406016,3151016
31515406023,3151023
31515406027,3151027
31515406034,3151034
31515406041,3151041
31515407,
31515407010,3151010
31515407026,3151026
31515407033,3151033
31515407035,3151035
31515407036,3151036
31515407038,3151038
3153,
31530002002,3153002
31530008008,3153008
31530012012,3153012
31530016016,3153016
31530017017,3153017
31530018018,3153018
31530019019,3153019
3154,
31540013013,3154013
31540014014,3154014
31540019019,3154019
31540028028,3154028
31545401,
31545401008,3154008
31545401015,3154015
31545401016,3154016
31545401018,3154018
31545402,
31545402002,3154002
31545402006,3154006
31545402012,3154012
31545402027,3154027
31545403,
31545403005,3154005
31545403017,3154017
31545403021,3154021
31545403022,3154022
31545403025,3154025
31545403026,3154026
31545404,
31545404001,3154001
31545404004,3154004
31545404007,3154007
31545404009,3154009
31545404024,3154024
3155,
31550001001,3155001
31550002002,3155002
31550003003,3155003
31550005005,3155005
31550006006,3155006
31550007007,3155007
31550009009,3155009
31550010010,3155010
31550011011,3155011
31550012012,3155012
31550013013,3155013
3157,
31570001001,3157001
31570002002,3157002
31570005005,3157005
31570006006,3157006
31570007007,3157007
31570008008,3157008
31570009009,3157009
3158,
31580006006,3158006
31580037037,3158037
31580039039,3158039
31585402,
31585402002,3158002
31585402004,3158004
31585402011,3158011
31585402016,3158016
31585402018,3158018
31585402028,3158028
31585403,
31585403005,3158005
31585403010,3158010
31585403014,3158014
31585403019,3158019
31585403023,3158023
31585403038,3158038
31585406,
31585406009,3158009
31585406012,3158012
31585406013,3158013
31585406030,3158030
31585406033,3158033
31585407,
31585407007,3158007
31585407008,3158008
31585407017,3158017
31585407021,3158021
31585407022,3158022
31585407025,3158025
31585407027,3158027
31585407031,3158031
31585407032,3158032
31585407035,3158035
31585407036,3158036
31585407040,3158040
3159,
31590001001,3159001
31590002002,3159002
31590003003,3159003
31590004004,3159004
31590007007,3159007
31590010010,3159010
31590013013,3159013
31590015015,3159015
31590016016,3159016
31590017017,3159017
31590019019,3159019
31590026026,3159026
31590029029,3159029
31590034034,3159034
31590036036,3159036
31595401,
31595401008,3159008
31595401009,3159009
31595401021,3159021
31595401024,3159024
31595401031,3159031
31595402,
31595402005,3159005
